pais,muertesCovid_2020,casosCovid_2020,pm2.5_2019,pm2.5_2018,pm2.5_2017,tasa_mortalidad_polucion_2019,%open_defecation_2020,%open_defecation_2019,%open_defecation_2018,%handwashing_facilities_home_2020,%handwashing_facilities_home_2019,%handwashing_facilities_home_2018,%basic_sanitation_ser_2020,%basic_sanitation_ser_2019,%basic_sanitation_ser_2018,%basic_drinking-water_ser_2020,%basic_drinking-water_ser_2019
Andorra,79,7338,8.52 ,9.21 ,9.31 ,,0,0,0,,,,100,100,100,100,100
Anguilla,0,10,,,,,,,,,,,,,,,
Dominica,0,87,8.22 ,8.75 ,9.23 ,,,,,,,,,,,,
Marshall Islands,0,4,7.21 ,7.14 ,7.15 ,,10,10,10,85,85,85,84,84,84,89,89
Monaco,2,668,9.21 ,9.88 ,9.63 ,,0,0,0,,,,100,100,100,100,100
Saint Kitts and Nevis,0,27,8.05 ,8.59 ,8.97 ,,,,,,,,,,,,
San Marino,51,1947,9.85 ,10.81,10.55,,0,0,0,,,,100,100,100,100,100
Cook Islands,,,7.80 ,7.76 ,7.60 ,,,,,,,,99,99,99,100,100
Democratic People's Republic of Korea,,,41.46,43.53,50.32,255,0,0,0,,,,85,85,84,94,94
Guinea-Bissau,,,34.85,35.90,36.53,93 ,10,12,13,18,17,15,18,17,17,59,59
Kiribati,,,7.62 ,7.67 ,7.63 ,152,30,31,31,56,56,55,46,45,45,78,77
Lao People's Democratic Republic,,,21.15,19.68,19.68,107,16,17,18,56,55,55,79,79,77,85,85
Micronesia (Federated States of),,,7.79 ,7.63 ,7.62 ,153,,,,,,,,88,88,,88
Nauru,,,7.40 ,7.59 ,7.45 ,,,,,,,,,,,100,100
Niue,,,6.74 ,6.73 ,6.64 ,,0,0,0,,,,96,96,96,97,97
"occupied Palestinian territory, including east Jerusalem",,,30.82,30.52,29.81,,0,0,0,92,92,92,99,98,98,98,98
Palau,,,7.82 ,7.77 ,7.50 ,,0,0,0,,,,100,100,100,100,100
Republic of Korea,,,24.04,23.70,25.81,38 ,0,0,0,,,,100,100,100,100,100
Republic of Moldova,,,12.37,13.30,11.98,98 ,0,0,0,,,,79,78,78,91,90
Russian Federation,,,8.88 ,9.22 ,8.38 ,127,0,0,0,,,,89,89,89,97,97
Samoa,,,7.78 ,7.77 ,7.67 ,94 ,0,0,0,79,79,79,97,97,97,92,92
Syrian Arab Republic,,,25.14,25.13,24.83,57 ,,,,83,83,83,90,90,90,94,94
Timor-Leste,,,20.47,19.66,19.49,105,18,18,18,28,28,28,57,56,55,85,84
Tonga,,,7.52 ,7.47 ,7.38 ,39 ,0,0,0,70,70,70,93,93,93,99,99
Türkiye,,,23.25,23.29,22.89,49 ,0,0,0,,,,99,99,98,97,97
Turkmenistan,,,26.41,29.17,29.49,56 ,0,0,0,100,100,100,99,99,99,100,100
Tuvalu,,,6.81 ,6.94 ,6.85 ,,,,9,,,,,,84,100,100
Afghanistan,1971,49273,62.49,70.25,61.78,101,11,11,12,38,38,38,50,49,47,75,72
Albania,1003,48530,16.28,19.76,19.01,165,0,0,0,,,,99,99,99,95,95
Algeria,2596,92102,22.68,22.73,23.33,41 ,0,0,0,85,85,84,86,86,86,94,94
